time,precip_mm,temp_mean_c,temp_min_c,temp_max_c,year,month,day
2015-01-01,6.9688187,1.4428456,-0.9883247,4.2503366,2015,1,1
2015-01-02,9.321172,1.6211892,-2.9611976,2.9975467,2015,1,2
2015-01-03,7.1506844,-1.0073528,-4.7355604,-0.22871892,2015,1,3
2015-01-04,4.3973336,-3.2676225,-7.807855,-2.594002,2015,1,4
2015-01-05,3.3613598,-5.696588,-10.747153,-4.007652,2015,1,5
2015-01-06,1.8643351,-7.3928432,-9.72046,-2.0964751,2015,1,6
2015-01-07,6.2338514,-4.436252,-6.2979965,0.0265,2015,1,7
2015-01-08,5.494688,-2.1072304,-5.0254846,0.61286014,2015,1,8
2015-01-09,4.9208064,-2.5600622,-8.149915,-1.5809886,2015,1,9
2015-01-10,4.7626343,-6.2565494,-13.05755,-3.7042282,2015,1,10
2015-01-11,10.576412,-9.214477,-14.893414,-8.128716,2015,1,11
2015-01-12,4.138214,-12.720015,-17.619085,-10.036193,2015,1,12
2015-01-13,7.628743,-12.964265,-15.043752,-6.332359,2015,1,13
2015-01-14,5.1720853,-9.12143,-11.308586,-4.9683414,2015,1,14
2015-01-15,3.0792172,-7.393729,-10.161151,-3.7518904,2015,1,15
2015-01-16,6.387862,-5.830751,-7.054479,-0.65003324,2015,1,16
2015-01-17,5.623493,-2.7199829,-5.779776,-0.89446616,2015,1,17
2015-01-18,3.3795502,-3.420662,-8.682878,-1.5798095,2015,1,18
2015-01-19,1.0453887,-6.447819,-13.372054,-4.8466377,2015,1,19
2015-01-20,1.5734204,-9.829382,-12.955176,-8.045054,2015,1,20
2015-01-21,1.9726489,-10.191244,-12.087683,-7.5347357,2015,1,21
2015-01-22,1.3179235,-10.15005,-15.561917,-8.626912,2015,1,22
2015-01-23,0.33585942,-13.060833,-18.115913,-9.323079,2015,1,23
2015-01-24,3.7570245,-12.422717,-14.219289,-5.8451896,2015,1,24
2015-01-25,3.2592568,-8.631598,-11.9545355,-3.8210745,2015,1,25
2015-01-26,3.9208808,-6.3212514,-8.271113,-0.25855988,2015,1,26
2015-01-27,3.6538374,-3.3414567,-7.367914,-0.73827124,2015,1,27
2015-01-28,6.0374813,-3.4001248,-5.760685,0.056216296,2015,1,28
2015-01-29,8.359831,-2.8202913,-6.1819596,-1.628172,2015,1,29
2015-01-30,5.4569373,-4.96569,-7.2905707,-4.2807117,2015,1,30
2015-01-31,2.1444807,-6.0635166,-9.837858,-4.9829807,2015,1,31
2015-02-01,2.0449243,-7.915865,-11.06338,-5.985034,2015,2,1
2015-02-02,2.3541706,-8.409201,-11.209067,-6.9857125,2015,2,2
2015-02-03,1.987819,-9.737148,-13.073106,-8.35763,2015,2,3
2015-02-04,1.2496855,-11.318316,-15.691853,-9.235298,2015,2,4
2015-02-05,0.41764247,-12.681597,-15.435765,-3.4354892,2015,2,5
2015-02-06,5.7206936,-6.6285977,-7.2976546,0.6804623,2015,2,6
2015-02-07,5.583288,-1.6102115,-7.1111035,2.4248002,2015,2,7
2015-02-08,10.050727,-3.8143375,-8.666124,-0.51129407,2015,2,8
2015-02-09,10.645149,-3.89987,-5.8786883,2.7231777,2015,2,9
2015-02-10,9.3188305,-0.23451005,-2.053842,3.397528,2015,2,10
2015-02-11,8.242086,0.48438594,-2.9888902,2.228112,2015,2,11
2015-02-12,6.9035754,-1.0118093,-6.4692783,0.6530287,2015,2,12
2015-02-13,3.8754714,-3.9046147,-8.282615,-2.2648199,2015,2,13
2015-02-14,2.1093125,-5.340951,-9.775727,-3.2497046,2015,2,14
2015-02-15,0.7870562,-6.735173,-10.908787,-2.7969573,2015,2,15
2015-02-16,0.34564185,-5.6346626,-7.8944426,-2.4551556,2015,2,16
2015-02-17,1.3836906,-4.7882047,-6.6309443,-0.43641934,2015,2,17
2015-02-18,6.4475646,-2.506592,-4.40084,1.4341997,2015,2,18
2015-02-19,8.282048,-0.6786795,-2.4641962,3.5972593,2015,2,19
2015-02-20,5.4006553,0.60687286,-3.0685377,2.0531096,2015,2,20
2015-02-21,3.2327359,-1.1875664,-5.291864,0.2636743,2015,2,21
2015-02-22,2.398451,-2.921994,-6.9938498,-0.69261694,2015,2,22
2015-02-23,3.9241426,-3.975244,-9.294598,-1.2120752,2015,2,23
2015-02-24,3.611472,-3.792525,-4.844914,0.6139155,2015,2,24
2015-02-25,2.9802945,-1.0138346,-3.4391387,1.4629261,2015,2,25
2015-02-26,1.0048627,-1.369559,-4.6108184,0.9051765,2015,2,26
2015-02-27,5.658849,-0.7423236,-1.8847421,1.4729763,2015,2,27
2015-02-28,1.3003465,-0.26995265,-3.004513,1.2961377,2015,2,28
2015-03-01,3.8406053,-0.28031844,-1.2403866,1.6987039,2015,3,1
2015-03-02,3.9977381,0.18372849,-1.7244067,1.9873141,2015,3,2
2015-03-03,2.1275256,-0.5968493,-4.462133,1.1452582,2015,3,3
2015-03-04,1.2086982,-2.361245,-6.9442053,0.19556712,2015,3,4
2015-03-05,1.7479273,-3.4920838,-8.132494,0.44624192,2015,3,5
2015-03-06,5.4385867,-2.7133791,-4.02035,2.9033043,2015,3,6
2015-03-07,4.236454,0.25509632,-2.582074,4.0410676,2015,3,7
2015-03-08,11.18656,1.5740904,-0.7694157,4.287769,2015,3,8
2015-03-09,5.9543743,0.8490743,-2.902568,2.2441669,2015,3,9
2015-03-10,4.8943543,-0.2843307,-3.3106499,2.6481638,2015,3,10
2015-03-11,4.340938,-0.4850679,-5.3874836,2.9524612,2015,3,11
2015-03-12,0.88141507,-0.6057452,-3.9321804,4.2263117,2015,3,12
2015-03-13,0.6524057,0.036067076,-3.813097,4.9000306,2015,3,13
2015-03-14,0.8860541,0.1951785,-4.2732544,5.436686,2015,3,14
2015-03-15,0.0748213,0.06161355,-5.959338,5.495511,2015,3,15
2015-03-16,0.020253504,0.29785326,-3.4407644,4.790249,2015,3,16
2015-03-17,0.047769014,0.6331449,-2.675873,4.4464703,2015,3,17
2015-03-18,0.69532305,0.9125186,-2.2382128,4.8500338,2015,3,18
2015-03-19,2.0225685,0.9471409,-3.2093587,3.4136016,2015,3,19
2015-03-20,5.7626305,-0.5174997,-5.299378,0.38528123,2015,3,20
2015-03-21,3.935766,-4.294227,-10.889122,-2.1276503,2015,3,21
2015-03-22,2.4401584,-6.220489,-9.602665,-0.05652448,2015,3,22
2015-03-23,8.512882,-2.645626,-3.745926,2.2235434,2015,3,23
2015-03-24,4.1466665,-1.3722109,-6.957443,1.1362875,2015,3,24
2015-03-25,1.1840447,-3.9235125,-10.651055,-0.43285277,2015,3,25
2015-03-26,3.012708,-5.1888237,-9.285544,-1.1307012,2015,3,26
2015-03-27,5.209809,-4.4676256,-6.109943,0.28172895,2015,3,27
2015-03-28,2.7531245,-2.5195827,-5.659201,2.6957154,2015,3,28
2015-03-29,2.9559612,-0.8085289,-3.3225524,2.2741213,2015,3,29
2015-03-30,3.4323735,-0.42054182,-2.7861145,2.600887,2015,3,30
2015-03-31,1.175383,-0.9948464,-6.167178,1.9649763,2015,3,31
2015-04-01,2.8463154,-1.9665258,-5.732236,2.4244695,2015,4,1
2015-04-02,2.4174309,-1.5969918,-4.695111,2.817285,2015,4,2
2015-04-03,1.7519667,-1.0016237,-4.19754,2.438675,2015,4,3
2015-04-04,0.6880057,-1.7085184,-6.7272315,2.3685467,2015,4,4
2015-04-05,0.4168593,-2.3007302,-6.7404313,2.8456306,2015,4,5
2015-04-06,1.7481214,-0.7474419,-2.4226928,5.2501802,2015,4,6
2015-04-07,3.9964468,2.3062975,0.517999,6.2888246,2015,4,7
2015-04-08,4.675607,3.1262317,-0.8705416,4.89442,2015,4,8
2015-04-09,5.149782,1.5462183,-1.7297399,5.2414436,2015,4,9
2015-04-10,4.869645,1.5619018,-2.2200162,5.561451,2015,4,10
2015-04-11,2.370781,1.372678,-2.7521622,5.904262,2015,4,11
2015-04-12,4.0870824,1.5770615,-2.3118584,4.987239,2015,4,12
2015-04-13,6.0942035,0.97070146,-2.0876591,3.040799,2015,4,13
2015-04-14,3.557756,-0.12991023,-3.8398478,3.4189646,2015,4,14
2015-04-15,3.9521887,0.33181858,-1.4442466,4.806373,2015,4,15
2015-04-16,3.070538,1.2800097,-1.9501126,3.9963632,2015,4,16
2015-04-17,0.886844,0.9851287,-1.7741851,5.6210275,2015,4,17
2015-04-18,0.40484616,1.9248412,-1.4276712,5.8640966,2015,4,18
2015-04-19,1.5268472,2.8239882,0.41952047,7.6992793,2015,4,19
2015-04-20,0.59590036,4.0100217,0.45940754,8.697229,2015,4,20
2015-04-21,0.72555256,4.5787497,0.6083626,8.296196,2015,4,21
2015-04-22,1.6425788,3.959524,-0.39382428,6.484388,2015,4,22
2015-04-23,7.072159,2.7435706,-1.2330432,5.19811,2015,4,23
2015-04-24,2.5518117,0.9230962,-3.1505613,3.697154,2015,4,24
2015-04-25,2.503625,0.16815834,-3.0679264,3.2946367,2015,4,25
2015-04-26,5.5586963,0.4436345,-2.2814596,4.0775523,2015,4,26
2015-04-27,1.5632504,0.39655128,-4.116549,4.8976707,2015,4,27
2015-04-28,1.6923423,0.14984569,-4.2359233,4.447139,2015,4,28
